Order Number,Transaction Date,Order Charged Timestamp,Transaction Type,Device Model,Product Title,Product id,Product Type,Sku Id,Currency of Sale,Item Price,Taxes Collected,Amount (Buyer Currency),City of Buyer,State of Buyer,Buyer Postal Code,Buyer Country,Base Plan ID,Offer ID
GPA.3398-4569-1524-70087,2021-11-08,1636408463,Charged,TokyoPro,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,GBP,3.49,0.7,4.19,,,,GB,,
GPA.3318-7176-7053-52992,2021-11-09,1636419002,Charged,c2q,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.34,5.83,whitinsville,MA,01588,US,,
GPA.3300-8964-1021-11339,2021-11-09,1636422957,Charged,gta4lwifi,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,CAD,7.49,0.97,8.46,Nepean,ON,K2J 1W7,CA,,
GPA.3395-3131-8007-62948,2021-11-09,1636425095,Charged,crosshatch,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.33,5.82,Hanover,MD,21076,US,,
GPA.3338-6969-9181-92500,2021-11-09,1636425152,Charged,crosshatch,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,USD,3.49,0.21,3.70,Hanover,MD,21076,US,,
GPA.3350-6001-7289-42442,2021-11-09,1636459286,Charged,d2q,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,USD,3.49,0.23,3.72,Elkton,SD,57026,US,,
GPA.3394-7855-8635-40500,2021-11-09,1636459343,Charged,d2q,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.36,5.85,Elkton,SD,57026,US,,
GPA.3347-9901-0266-44551,2021-11-09,1636464870,Charged,redfin,Character Manager (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,inapp,unlockcharactermanager,USD,1.99,0.13,2.12,Greensboro,NC,27410,US,,
GPA.3385-5259-9998-28597,2021-11-09,1636470244,Charged,sofia,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,USD,3.49,0.0,3.49,LAWTON,OK,73505,US,,
GPA.3349-7258-0597-79595,2021-11-09,1636473281,Charged,d2q,Pathfinder DM tools (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,inapp,premium,USD,2.49,0.14,2.63,NICKERSON,NE,68044,US,,
